sample_id,participant,phase,sample_date,pm_conc_ug_m3,bc_conc_ug_m3,country
1,m,baseline,8/16/18 09:50,59.32991103,5.6,kenya
2,m,baseline,8/16/18 11:02,59.50791446,5.03,kenya
3,m,followup1,8/16/18 11:08,19.6591148,0.69,kenya
4,m,baseline,8/16/18 09:36,54.86901547,4.72,kenya
5,m,followup1,8/16/18 08:47,128.7910447,7.44,kenya
6,m,baseline,8/16/18 10:31,43.73346698,3.21,kenya
7,m,baseline,8/20/18 09:24,52.23912802,4.59,kenya
8,m,baseline,8/20/18 11:23,103.463904,10.59,kenya
9,m,baseline,8/16/18 09:50,31.64261922,3.02,kenya
10,m,baseline,8/17/18 09:31,727.3872477,5.13,kenya
11,m,followup1,8/20/18 12:17,191.0986332,6.39,kenya
12,m,baseline,8/23/18 11:28,30.94211603,3.14,kenya
13,m,baseline,8/22/18 11:06,366.4585154,10.27,kenya
14,m,followup1,8/22/18 12:55,473.0723518,9.22,kenya
15,m,followup1,8/27/18 12:09,24.28478888,2.66,kenya
16,m,baseline,8/23/18 10:34,99.28678989,6.96,kenya
17,o,baseline,8/27/18 11:21,76.69862377,4.24,kenya
18,m,baseline,8/29/18 11:22,26.2222913,2.79,kenya
19,m,followup1,8/27/18 12:18,138.5397068,8.33,kenya
20,m,baseline,8/27/18 13:21,85.74768218,5.65,kenya
21,m,followup1,8/27/18 10:51,28.76686793,1.48,kenya
22,m,baseline,8/27/18 11:21,48.83222836,3.9,kenya
23,m,followup1,8/27/18 12:32,11.04940428,0.84,kenya
24,m,followup1,8/27/18 10:40,37.2533349,2,kenya
25,m,baseline,8/29/18 11:41,78.41110586,4.64,kenya
26,m,baseline,8/29/18 10:24,163.3267694,9.75,kenya
27,o,followup1,8/29/18 12:34,23.01349435,2.17,kenya
28,m,followup1,8/29/18 11:07,276.1465642,9.74,kenya
29,m,baseline,8/29/18 09:46,112.3244492,8.46,kenya
30,m,baseline,8/29/18 10:49,86.87594116,6.38,kenya
31,m,followup1,8/29/18 12:33,39.91597296,3.13,kenya
32,m,baseline,8/29/18 09:31,27.18566866,3.09,kenya
33,m,followup1,8/29/18 09:40,63.70902351,2.57,kenya
34,m,baseline,8/31/18 09:24,71.49318598,6.35,kenya
35,m,baseline,8/31/18 10:42,109.7380309,6.44,kenya
36,m,baseline,8/31/18 09:45,43.0021381,3.54,kenya
37,m,followup1,8/29/18 11:39,65.58845889,3.57,kenya
38,m,baseline,8/31/18 11:57,51.35523615,3.49,kenya
39,m,followup1,8/30/18 09:43,46.17990228,5.54,kenya
40,o,baseline,8/31/18 11:57,37.78459385,3.04,kenya
